CCAA,FECHA,CASOS,PCR+,TestAc+,Hospitalizados,UCI,Fallecidos,New_Hosp,New_UCI,New_Fallecidos
VC,22/4/2020,6691,9869,866,4917,650,1124,21,1,18
EX,22/4/2020,1889,2715,651,1375,107,407,26,0,3
GA,22/4/2020,3367,8805,,2694,298,375,20,1,7
MD,22/4/2020,49592,60657,3393,38620,3288,7684,292,5,107
MC,22/4/2020,852,1460,261,624,104,124,2,0,1
NC,22/4/2020,2445,4577,486,1907,129,409,13,1,8
PV,22/4/2020,7943,12094,1342,6260,516,1167,59,3,43
RI,22/4/2020,1716,3741,986,1331,82,303,13,1,5
CE,22/4/2020,17,100,24,9,4,4,0,0,0
ML,22/4/2020,49,106,7,44,3,2,0,0,0
AN,23/4/2020,7496,11486,963,5675,714,1107,59,12,28
AR,23/4/2020,3302,4867,428,2359,248,695,19,1,14
AS,23/4/2020,1357,2245,354,1012,117,228,3,1,6
IB,23/4/2020,1370,1819,57,1036,162,172,18,0,4
CN,23/4/2020,1165,2140,0,868,169,128,13,0,7
CB,23/4/2020,1234,2055,218,978,78,178,13,0,5
CM,23/4/2020,11150,15365,2688,8342,553,2255,38,7,67
CL,23/4/2020,9628,15692,2084,7506,510,1612,109,2,30
CT,23/4/2020,31092,45544,1027,24130,2569,4393,483,91,50
VC,23/4/2020,6743,9939,967,4945,651,1147,28,1,23
EX,23/4/2020,1931,2718,685,1413,107,411,38,0,4
GA,23/4/2020,3390,8932,,2707,301,382,13,3,7
MD,23/4/2020,49907,61099,3535,38837,3305,7765,217,17,81
MC,23/4/2020,855,1468,273,625,105,125,1,1,1
NC,23/4/2020,2461,4581,599,1915,129,417,8,0,8
PV,23/4/2020,8026,12204,1576,6315,518,1193,55,2,26
RI,23/4/2020,1733,3790,1075,1344,82,307,13,0,4
CE,23/4/2020,18,100,25,10,4,4,1,0,0
ML,23/4/2020,49,107,9,44,3,2,0,0,0
AN,24/4/2020,7562,11645,1129,5715,716,1131,40,2,24
AR,24/4/2020,3330,4922,460,2372,249,709,13,1,14
AS,24/4/2020,1372,2249,393,1020,117,235,8,0,7
IB,24/4/2020,1389,1845,60,1053,162,174,17,0,2
CN,24/4/2020,1179,2155,0,878,171,130,10,2,2
CB,24/4/2020,1242,2071,244,982,78,182,4,0,4
CM,24/4/2020,11236,15509,3016,8385,559,2292,43,6,37
CL,24/4/2020,9705,15990,2269,7555,511,1639,49,1,27
CT,24/4/2020,31494,46261,1027,24420,2576,4498,290,7,105
VC,24/4/2020,6803,10066,1057,4978,653,1172,33,2,25
EX,24/4/2020,1970,2718,740,1447,107,416,34,0,5
GA,24/4/2020,3407,9116,,2717,302,388,10,1,6
MD,24/4/2020,50219,61619,3691,39064,3307,7848,227,2,83
MC,24/4/2020,856,1468,288,625,105,126,0,0,1
NC,24/4/2020,2495,4627,647,1937,129,429,22,0,12
PV,24/4/2020,8112,12366,1766,6375,525,1212,60,7,19
RI,24/4/2020,1754,3821,1125,1360,83,311,16,1,4
CE,24/4/2020,18,100,25,10,4,4,0,0,0
ML,24/4/2020,49,108,10,44,3,2,0,0,0
AN,25/4/2020,7608,11712,1260,5747,716,1145,32,0,14
AR,25/4/2020,3358,4955,501,2395,251,712,23,2,3
AS,25/4/2020,1382,2261,441,1022,117,243,2,0,8
IB,25/4/2020,1394,1852,63,1057,162,175,4,0,1
CN,25/4/2020,1182,2167,0,880,171,131,2,0,1
CB,25/4/2020,1252,2083,247,991,78,183,9,0,1
CM,25/4/2020,11312,15609,3386,8417,565,2330,32,6,38
CL,25/4/2020,9834,16222,2462,7653,515,1666,98,4,27
CT,25/4/2020,32814,46811,1027,25665,2583,4566,1245,7,68
VC,25/4/2020,6853,10160,1212,5013,654,1186,35,1,14
EX,25/4/2020,2009,2736,729,1480,107,422,33,0,6
GA,25/4/2020,3421,9176,,2724,303,394,7,1,6
MD,25/4/2020,50447,61855,3691,39217,3308,7922,153,1,74
MC,25/4/2020,860,1474,297,627,106,127,2,1,1
NC,25/4/2020,2502,4712,740,1942,129,431,5,0,2
PV,25/4/2020,8189,12455,1860,6426,533,1230,51,8,18
RI,25/4/2020,1779,3861,1137,1380,84,315,20,1,4
CE,25/4/2020,18,100,31,10,4,4,0,0,0
ML,25/4/2020,49,110,11,44,3,2,0,0,0
AN,26/4/2020,7644,11787,1321,5767,720,1157,20,4,12
AR,26/4/2020,3380,4985,519,2403,251,726,8,0,14
AS,26/4/2020,1393,2263,472,1028,117,248,6,0,5
IB,26/4/2020,1398,1857,63,1057,162,179,0,0,4
CN,26/4/2020,1183,2178,0,881,171,131,1,0,0
CB,26/4/2020,1259,2104,246,995,78,186,4,0,3
CM,26/4/2020,11388,15664,3622,8444,579,2365,27,14,35
CL,26/4/2020,9911,16404,2624,7703,518,1690,50,3,24
CT,26/4/2020,33222,47755,1027,25799,2724,4699,134,141,133
VC,26/4/2020,6877,10180,1232,5032,656,1189,19,2,3
EX,26/4/2020,2025,2749,731,1490,107,428,10,0,6
GA,26/4/2020,3437,9238,,2728,304,405,4,1,11
MD,26/4/2020,50645,61985,4022,39350,3309,7986,133,1,64
MC,26/4/2020,861,1474,297,627,106,128,0,0,1
NC,26/4/2020,2504,4733,753,1942,130,432,0,1,1
PV,26/4/2020,8236,12513,1899,6457,538,1241,31,5,11
RI,26/4/2020,1797,3892,1149,1392,85,320,12,1,5
CE,26/4/2020,18,100,31,10,4,4,0,0,0
ML,26/4/2020,49,110,11,44,3,2,0,0,0
AN,27/4/2020,7681,11836,1359,5792,721,1168,25,1,11
AR,27/4/2020,3412,5004,553,2425,252,735,22,1,9
AS,27/4/2020,1404,2269,537,1035,117,252,7,0,4
IB,27/4/2020,1412,1868,70,1069,162,181,12,0,2
CN,27/4/2020,1207,2187,0,900,174,133,19,3,2
CB,27/4/2020,1266,2115,271,1000,78,188,5,0,2
CM,27/4/2020,11444,15706,3812,8464,584,2396,20,5,31
CL,27/4/2020,10009,16589,2783,7777,522,1710,74,4,20
CT,27/4/2020,33788,48158,1027,26230,2750,4808,431,26,109
VC,27/4/2020,6905,10204,1454,5046,659,1200,14,3,11
EX,27/4/2020,2045,2751,736,1505,107,433,15,0,5
GA,27/4/2020,3451,9328,,2734,305,412,6,1,7
MD,27/4/2020,50809,62579,4205,39423,3338,8048,73,29,62
MC,27/4/2020,865,1475,318,629,106,130,2,0,2
NC,27/4/2020,2507,4759,871,1945,130,432,3,0,0
PV,27/4/2020,8276,12564,2240,6482,539,1255,25,1,14
RI,27/4/2020,1813,3897,1200,1400,87,326,8,2,6
CE,27/4/2020,18,100,34,10,4,4,0,0,0
ML,27/4/2020,49,114,11,44,3,2,0,0,0
AN,28/4/2020,7740,11917,1528,5831,721,1188,39,0,20
AR,28/4/2020,3442,5042,610,2454,252,736,29,0,1
AS,28/4/2020,1417,2284,587,1041,117,259,6,0,7
IB,28/4/2020,1421,1877,71,1074,162,185,5,0,4
CN,28/4/2020,1215,2202,0,906,175,134,6,1,1
CB,28/4/2020,1276,2146,293,1006,79,191,6,1,3
CM,28/4/2020,11547,15785,4010,8523,588,2436,59,4,40
CL,28/4/2020,10114,16690,3161,7854,524,1736,77,2,26
CT,28/4/2020,34219,48654,1027,26546,2768,4905,316,18,97
VC,28/4/2020,6952,10236,1580,5072,662,1218,26,3,18
EX,28/4/2020,2073,2764,749,1526,107,440,21,0,7
GA,28/4/2020,3595,8693,791,2736,308,551,2,3,139
MD,28/4/2020,51310,63079,4381,39850,3355,8105,427,17,57
MC,28/4/2020,871,1480,360,635,106,130,6,0,0
NC,28/4/2020,2529,4794,1090,1951,130,448,6,0,16
PV,28/4/2020,8336,12619,2519,6522,540,1274,40,1,19
RI,28/4/2020,1830,3910,1263,1413,87,330,13,0,4
CE,28/4/2020,18,101,38,10,4,4,0,0,0
ML,28/4/2020,49,114,11,44,3,2,0,0,0
AN,29/4/2020,7801,11949,1675,5873,721,1207,42,0,19
AR,29/4/2020,3468,5091,880,2477,252,739,23,0,3
AS,29/4/2020,1427,2295,627,1047,117,263,6,0,4
IB,29/4/2020,1428,1881,72,1077,163,188,3,1,3
CN,29/4/2020,1219,2205,0,909,175,135,3,0,1
CB,29/4/2020,1277,2173,332,1007,79,191,1,0,0
CM,29/4/2020,11622,15832,4239,8567,592,2463,44,4,27
CL,29/4/2020,10237,16885,3427,7957,528,1752,103,4,16
CT,29/4/2020,34522,48916,1027,26763,2784,4975,217,16,70
VC,29/4/2020,6995,10331,1727,5096,663,1236,24,1,18
EX,29/4/2020,2104,2785,753,1550,108,446,24,1,6
GA,29/4/2020,3608,8731,848,2747,310,551,11,2,0
MD,29/4/2020,51629,63454,4488,40076,3377,8176,226,22,71
MC,29/4/2020,875,1486,408,637,108,130,2,2,0
NC,29/4/2020,2548,4815,1325,1965,132,451,14,2,3
PV,29/4/2020,8398,12701,2818,6561,541,1296,39,1,22
RI,29/4/2020,1844,3918,1288,1424,88,332,11,1,2
CE,29/4/2020,18,101,45,10,4,4,0,0,0
ML,29/4/2020,49,114,11,44,3,2,0,0,0
AN,30/4/2020,7902,12061,1820,5935,729,1238,62,8,31
AR,30/4/2020,3496,5116,987,2494,253,749,17,1,10
AS,30/4/2020,1430,2310,663,1048,118,264,1,1,1
IB,30/4/2020,1441,1892,76,1085,163,193,8,0,5
CN,30/4/2020,1225,2206,0,914,175,136,5,0,1
CB,30/4/2020,1280,2184,363,1009,79,192,2,0,1
CM,30/4/2020,11712,15910,4606,8618,596,2498,51,4,35
CL,30/4/2020,10311,16993,3746,8010,531,1770,53,3,18
CT,30/4/2020,34788,49307,1027,26932,2795,5061,169,11,86
VC,30/4/2020,7065,10347,1862,5126,694,1245,30,31,9
EX,30/4/2020,2124,2811,819,1565,108,451,15,0,5
GA,30/4/2020,3630,8769,848,2759,313,558,12,3,7
MD,30/4/2020,51907,63747,4609,40293,3392,8222,217,15,46
MC,30/4/2020,879,1488,472,638,109,132,1,1,2
NC,30/4/2020,2567,4848,1489,1977,132,458,12,0,7
PV,30/4/2020,8463,12824,3145,6607,544,1312,46,3,16
RI,30/4/2020,1854,3936,1290,1433,88,333,9,0,1
CE,30/4/2020,18,101,50,10,4,4,0,0,0
ML,30/4/2020,49,115,11,44,3,2,0,0,0
AN,1/5/2020,7949,12105,2023,5961,735,1253,26,6,15
AR,1/5/2020,3517,5136,1028,2503,253,761,9,0,12
AS,1/5/2020,1442,2311,686,1052,120,270,4,2,6
IB,1/5/2020,1449,1898,82,1089,163,197,4,0,4
CN,1/5/2020,1233,2212,0,918,175,140,4,0,4
CB,1/5/2020,1281,2201,376,1009,79,193,0,0,1
CM,1/5/2020,11780,15967,5056,8645,601,2534,27,5,36
CL,1/5/2020,10373,17165,3834,8054,531,1788,44,0,18
CT,1/5/2020,34997,49850,1027,27049,2811,5137,117,16,76
VC,1/5/2020,7106,10552,2103,5153,695,1258,27,1,13
EX,1/5/2020,2158,2824,866,1592,108,458,27,0,7
GA,1/5/2020,3645,8804,848,2769,313,563,10,0,5
MD,1/5/2020,52153,63928,4609,40457,3404,8292,164,12,70
MC,1/5/2020,881,1491,475,639,110,132,1,1,0
NC,1/5/2020,2571,4888,1523,1979,132,460,2,0,2
PV,1/5/2020,8531,12899,3232,6659,551,1321,52,7,9
RI,1/5/2020,1861,3947,1292,1439,88,334,6,0,1
CE,1/5/2020,18,101,51,10,4,4,0,0,0
ML,1/5/2020,49,115,11,44,3,2,0,0,0
AN,2/5/2020,7953,12139,2112,5961,736,1256,0,1,3
AR,2/5/2020,3533,5164,1044,2519,253,761,16,0,0
AS,2/5/2020,1445,2313,706,1055,120,270,3,0,0
IB,2/5/2020,1454,1904,82,1094,163,197,5,0,0
CN,2/5/2020,1234,2221,0,919,175,140,1,0,0
CB,2/5/2020,1284,2205,384,1010,79,195,1,0,2
CM,2/5/2020,11845,16017,5273,8676,604,2565,31,3,31
CL,2/5/2020,10418,17283,3946,8085,533,1800,31,2,12
CT,2/5/2020,35286,50234,1027,27257,2844,5185,208,33,48
VC,2/5/2020,7143,10563,2250,5181,698,1264,28,3,6
EX,2/5/2020,2171,2844,868,1603,108,460,11,0,2
GA,2/5/2020,3658,8837,848,2774,315,569,5,2,6
MD,2/5/2020,52350,64045,4609,40597,3421,8332,140,17,40
MC,2/5/2020,885,1492,482,641,110,134,2,0,2
NC,2/5/2020,2581,4902,1525,1986,133,462,7,1,2
PV,2/5/2020,8574,12944,3259,6692,553,1329,33,2,8
RI,2/5/2020,1869,3952,1295,1446,88,335,7,0,1
CE,2/5/2020,18,101,51,10,4,4,0,0,0
ML,2/5/2020,49,117,12,44,3,2,0,0,0
AN,3/5/2020,7974,12156,2155,5973,738,1263,12,2,7
AR,3/5/2020,3541,5188,1051,2526,253,762,7,0,1
AS,3/5/2020,1451,2315,716,1057,120,274,2,0,4
IB,3/5/2020,1457,1904,83,1097,163,197,3,0,0
CN,3/5/2020,1235,2225,0,919,175,141,0,0,1
CB,3/5/2020,1287,2206,390,1011,79,197,1,0,2
CM,3/5/2020,11894,16050,5461,8698,606,2590,22,2,25
CL,3/5/2020,10475,17334,4045,8123,534,1818,38,1,18
CT,3/5/2020,35388,50366,1027,27321,2847,5220,64,3,35
VC,3/5/2020,7173,10575,2383,5204,700,1269,23,2,5
EX,3/5/2020,2186,2849,873,1618,108,460,15,0,0
GA,3/5/2020,3672,8859,848,2782,315,575,8,0,6
MD,3/5/2020,52548,64157,4609,40741,3431,8376,144,10,44
MC,3/5/2020,889,1492,482,645,110,134,4,0,0
NC,3/5/2020,2589,4918,1529,1990,133,466,4,0,4
PV,3/5/2020,8614,12956,3294,6719,554,1341,27,1,12
RI,3/5/2020,1872,3961,1297,1449,88,335,3,0,0
CE,3/5/2020,18,101,51,10,4,4,0,0,0
ML,3/5/2020,49,119,12,44,3,2,0,0,0
AN,4/5/2020,7988,12167,2184,5983,738,1267,10,0,4
AR,4/5/2020,3562,5207,1075,2539,253,770,13,0,8
AS,4/5/2020,1456,2316,743,1061,120,275,4,0,1
IB,4/5/2020,1467,1906,87,1105,164,198,8,1,1
CN,4/5/2020,1238,2231,0,920,176,142,1,1,1
CB,4/5/2020,1292,2207,400,1015,79,198,4,0,1
CM,4/5/2020,11950,16080,5576,8725,609,2616,27,3,26
CL,4/5/2020,10522,17429,4290,8153,537,1832,30,3,14
CT,4/5/2020,35871,50771,1027,27745,2856,5270,424,9,50
VC,4/5/2020,7194,10617,2383,5214,701,1279,10,1,10
EX,4/5/2020,2199,2852,876,1629,108,462,11,0,2
GA,4/5/2020,3688,8881,902,2792,317,579,10,2,4
MD,4/5/2020,52713,64489,4689,40851,3442,8420,110,11,44
MC,4/5/2020,897,1496,555,650,111,136,5,1,2
NC,4/5/2020,2600,4936,1625,1995,134,471,5,1,5
PV,4/5/2020,8645,12987,3461,6736,556,1353,17,2,12
RI,4/5/2020,1878,3967,1303,1452,90,336,3,2,1
CE,4/5/2020,18,101,54,10,4,4,0,0,0
ML,4/5/2020,49,119,12,44,3,2,0,0,0
AN,5/5/2020,8033,12190,2403,6012,740,1281,29,2,14
AR,5/5/2020,3593,5231,1151,2552,253,788,13,0,18
AS,5/5/2020,1466,2322,768,1068,120,278,7,0,3
IB,5/5/2020,1480,1917,92,1117,164,199,12,0,1
CN,5/5/2020,1239,2231,0,920,176,143,0,0,1
CB,5/5/2020,1296,2213,413,1018,79,199,3,0,1
CM,5/5/2020,12024,16144,6022,8765,612,2647,40,3,31
CL,5/5/2020,10631,17520,4636,8246,538,1847,93,1,15
CT,5/5/2020,36301,50924,1166,28085,2871,5345,340,15,75
VC,5/5/2020,7217,10659,2527,5225,701,1291,11,0,12
EX,5/5/2020,2221,2865,881,1650,108,463,21,0,1
GA,5/5/2020,3718,8901,1095,2811,319,588,19,2,9
MD,5/5/2020,52962,64820,4689,41031,3465,8466,180,23,46
MC,5/5/2020,897,1498,635,650,111,136,0,0,0
NC,5/5/2020,2616,4966,1804,2005,135,476,10,1,5
PV,5/5/2020,8704,13021,3671,6781,559,1364,45,3,11
RI,5/5/2020,1886,3980,1342,1458,91,337,6,1,1
CE,5/5/2020,18,109,55,10,4,4,0,0,0
ML,5/5/2020,49,119,12,44,3,2,0,0,0
AN,6/5/2020,8063,12222,2602,6027,742,1294,15,2,13
AR,6/5/2020,3619,5258,1258,2564,255,800,12,2,12
AS,6/5/2020,1472,2330,773,1072,121,279,4,1,1
IB,6/5/2020,1486,1925,94,1121,164,201,4,0,2
CN,6/5/2020,1241,2235,0,921,176,144,1,0,1
CB,6/5/2020,1299,2220,422,1020,79,200,2,0,1
CM,6/5/2020,12086,16184,6383,8796,613,2677,31,1,30
CL,6/5/2020,10705,17625,4912,8300,541,1864,54,3,17
CT,6/5/2020,36533,51190,1315,28248,2891,5394,163,20,49
VC,6/5/2020,7259,10694,2719,5252,704,1303,27,3,12
EX,6/5/2020,2239,2877,931,1664,108,467,14,0,4
GA,6/5/2020,3744,8919,1158,2833,320,591,22,1,3
MD,6/5/2020,53148,65093,4792,41159,3485,8504,128,20,38
MC,6/5/2020,900,1501,691,652,111,137,2,0,1
NC,6/5/2020,2630,4983,2027,2015,135,480,10,0,4
PV,6/5/2020,8741,13054,3918,6797,561,1383,16,2,19
RI,6/5/2020,1892,3986,1344,1463,91,338,5,0,1
CE,6/5/2020,18,109,56,10,4,4,0,0,0
ML,6/5/2020,49,119,13,44,3,2,0,0,0
AN,7/5/2020,8081,12239,2763,6038,742,1301,11,0,7
AR,7/5/2020,3648,5274,1301,2578,255,815,14,0,15
AS,7/5/2020,1477,2338,821,1076,121,280,4,0,1
IB,7/5/2020,1487,1931,94,1121,164,202,0,0,1
CN,7/5/2020,1251,2240,,927,176,148,6,0,4
CB,7/5/2020,1302,2232,433,1022,79,201,2,0,1
CM,7/5/2020,12158,16237,6671,8828,617,2713,32,4,36
CL,7/5/2020,10776,17716,5210,8357,543,1876,57,2,12
CT,7/5/2020,37028,51733,1476,28608,2949,5471,360,58,77
VC,7/5/2020,7302,10725,2888,5287,706,1309,35,2,6
EX,7/5/2020,2259,2900,953,1678,109,472,14,1,5
GA,7/5/2020,3765,8952,1269,2852,321,592,19,1,1
MD,7/5/2020,53349,65333,4792,41304,3493,8552,145,8,48
MC,7/5/2020,908,1504,748,659,112,137,7,1,0
NC,7/5/2020,2634,5006,2221,2015,135,484,0,0,4
PV,7/5/2020,8774,13104,4185,6818,566,1390,21,5,7
RI,7/5/2020,1902,3992,1363,1469,91,342,6,0,4
CE,7/5/2020,19,109,59,11,4,4,1,0,0
ML,7/5/2020,49,119,13,44,3,2,0,0,0
AN,8/5/2020,8131,12250,2930,6069,745,1317,31,3,16
AR,8/5/2020,3661,5291,1365,2583,255,823,5,0,8
AS,8/5/2020,1478,2344,841,1077,121,280,1,0,0
IB,8/5/2020,1493,1940,98,1121,165,207,0,1,5
CN,8/5/2020,1261,2250,0,935,178,148,8,2,0
CB,8/5/2020,1303,2241,440,1023,79,201,1,0,0
CM,8/5/2020,12226,16278,7015,8867,621,2738,39,4,25
CL,8/5/2020,10825,17822,5630,8394,546,1885,37,3,9
CT,8/5/2020,37144,51935,1643,28687,2950,5507,79,1,36
VC,8/5/2020,7341,10760,3015,5317,709,1315,30,3,6
EX,8/5/2020,2281,2907,979,1695,109,477,17,0,5
GA,8/5/2020,3794,8964,1358,2876,323,595,24,2,3
MD,8/5/2020,53542,65555,4852,41436,3508,8598,132,15,46
MC,8/5/2020,912,1506,757,662,112,138,3,0,1
NC,8/5/2020,2643,5039,2403,2021,135,487,6,0,3
PV,8/5/2020,8836,13161,4442,6865,568,1403,47,2,13
RI,8/5/2020,1908,4000,1365,1473,91,344,4,0,2
CE,8/5/2020,19,110,59,11,4,4,0,0,0
ML,8/5/2020,49,119,13,44,3,2,0,0,0
AN,9/5/2020,8145,12267,3088,6080,745,1320,11,0,3
AR,9/5/2020,3667,5316,1386,2588,255,824,5,0,1
AS,9/5/2020,1484,2346,854,1080,121,283,3,0,3
IB,9/5/2020,1495,1946,105,1121,165,209,0,0,2
CN,9/5/2020,1261,2258,0,935,178,148,0,0,0
CB,9/5/2020,1307,2244,440,1027,79,201,4,0,0
CM,9/5/2020,12277,16343,7319,8895,623,2759,28,2,21
CL,9/5/2020,10911,17952,5869,8468,546,1897,74,0,12
CT,9/5/2020,37267,52162,1643,28784,2951,5532,97,1,25
VC,9/5/2020,7393,10770,3127,5354,716,1323,37,7,8
EX,9/5/2020,2300,2912,991,1711,109,480,16,0,3
GA,9/5/2020,3807,8981,1389,2886,325,596,10,2,1
MD,9/5/2020,53723,65641,4875,41559,3520,8644,123,12,46
MC,9/5/2020,913,1508,821,662,112,139,0,0,1
NC,9/5/2020,2646,5052,2403,2023,135,488,2,0,1
PV,9/5/2020,8891,13193,4521,6902,571,1418,37,3,15
RI,9/5/2020,1911,4008,1370,1474,91,346,1,0,2
CE,9/5/2020,19,110,59,11,4,4,0,0,0
ML,9/5/2020,49,119,13,44,3,2,0,0,0
AN,10/5/2020,8159,12285,3137,6092,745,1322,12,0,2
AR,10/5/2020,3675,5336,1395,2595,255,825,7,0,1
AS,10/5/2020,1489,2350,866,1080,121,288,0,0,5
IB,10/5/2020,1495,1949,105,1121,165,209,0,0,0
CN,10/5/2020,1263,2260,0,936,178,149,1,0,1
CB,10/5/2020,1307,2245,440,1027,79,201,0,0,0
CM,10/5/2020,12328,16387,7482,8918,624,2786,23,1,27
CL,10/5/2020,10934,17995,5996,8482,547,1905,14,1,8
CT,10/5/2020,37327,54807,1643,28820,2952,5555,36,1,23
VC,10/5/2020,7401,10776,3152,5355,716,1330,1,0,7
EX,10/5/2020,2317,2918,1001,1725,109,483,14,0,3
GA,10/5/2020,3825,8999,1389,2902,326,597,16,1,1
MD,10/5/2020,53862,65693,4877,41650,3529,8683,91,9,39
MC,10/5/2020,916,1517,815,665,112,139,3,0,0
NC,10/5/2020,2654,5065,2421,2029,135,490,6,0,2
PV,10/5/2020,8918,13203,4542,6922,573,1423,20,2,5
RI,10/5/2020,1912,4008,1374,1475,91,346,1,0,0
CE,10/5/2020,19,110,59,11,4,4,0,0,0
ML,10/5/2020,49,119,13,44,3,2,0,0,0
AN,11/5/2020,8172,12293,3229,6101,745,1326,9,0,4
AR,11/5/2020,3689,5359,1438,2606,255,828,11,0,3
AS,11/5/2020,1491,2352,875,1080,121,290,0,0,2
IB,11/5/2020,1498,1949,105,1122,166,210,1,1,1
CN,11/5/2020,1266,2268,0,937,178,151,1,0,2
CB,11/5/2020,1309,2246,445,1027,79,203,0,0,2
CM,11/5/2020,12380,16431,7620,8940,629,2811,22,5,25
CL,11/5/2020,10954,18048,6122,8493,547,1914,11,0,9
CT,11/5/2020,37711,55144,1643,29138,2952,5621,318,0,66
VC,11/5/2020,7413,10793,3197,5360,717,1336,5,1,6
EX,11/5/2020,2333,2919,1001,1737,109,487,12,0,4
GA,11/5/2020,3829,9003,1446,2905,326,598,3,0,1
MD,11/5/2020,53998,65887,4877,41735,3543,8720,85,14,37
MC,11/5/2020,916,1517,816,665,112,139,0,0,0
NC,11/5/2020,2667,5081,2556,2039,135,493,10,0,3
PV,11/5/2020,8932,13231,4664,6929,574,1429,7,1,6
RI,11/5/2020,1916,4008,1384,1478,91,347,3,0,1
CE,11/5/2020,19,114,59,11,4,4,0,0,0
ML,11/5/2020,49,119,13,44,3,2,0,0,0
AN,12/5/2020,8196,12317,3312,6114,750,1332,13,5,6
AR,12/5/2020,3698,5372,1484,2614,255,829,8,0,1
AS,12/5/2020,1493,2356,896,1080,121,292,0,0,2
IB,12/5/2020,1510,1953,106,1127,168,215,5,2,5
CN,12/5/2020,1266,2271,0,937,178,151,0,0,0
CB,12/5/2020,1313,2256,477,1029,79,205,2,0,2
CM,12/5/2020,12430,16453,7732,8963,632,2835,23,3,24
CL,12/5/2020,10983,18105,6157,8517,547,1919,24,0,5
CT,12/5/2020,37912,55287,1643,29267,2953,5692,129,1,71
VC,12/5/2020,7428,10816,3285,5370,717,1341,10,0,5
EX,12/5/2020,2352,2921,1001,1754,109,489,17,0,2
GA,12/5/2020,3835,9014,1481,2909,327,599,4,1,1
MD,12/5/2020,54171,66106,4958,41856,3555,8760,121,12,40
MC,12/5/2020,920,1525,873,666,112,142,1,0,3
NC,12/5/2020,2671,5094,2658,2042,135,494,3,0,1
PV,12/5/2020,8972,13260,4881,6955,575,1442,26,1,13
RI,12/5/2020,1920,4009,1388,1481,91,348,3,0,1
CE,12/5/2020,19,114,59,11,4,4,0,0,0
ML,12/5/2020,49,119,13,44,3,2,0,0,0
AN,13/5/2020,8215,12359,3464,6128,751,1336,14,1,4
AR,13/5/2020,3716,5389,1554,2625,255,836,11,0,7
AS,13/5/2020,1498,2357,910,1084,121,293,4,0,1
IB,13/5/2020,1511,1954,106,1127,168,216,0,0,1
CN,13/5/2020,1266,2275,0,937,178,151,0,0,0
CB,13/5/2020,1314,2256,483,1030,79,205,1,0,0
CM,13/5/2020,12466,16470,7861,8980,634,2852,17,2,17
CL,13/5/2020,11033,18173,6206,8560,548,1925,43,1,6
CT,13/5/2020,38082,55313,1643,29305,2954,5823,38,1,131
VC,13/5/2020,7455,10832,3370,5389,717,1349,19,0,8
EX,13/5/2020,2362,2925,1001,1761,109,492,7,0,3
GA,13/5/2020,3845,9030,1515,2915,327,603,6,0,4
MD,13/5/2020,54305,66315,4958,41962,3564,8779,106,9,19
MC,13/5/2020,926,1532,905,672,112,142,6,0,0
NC,13/5/2020,2678,5105,2786,2045,135,498,3,0,4
PV,13/5/2020,9025,13303,4881,6994,577,1454,39,2,12
RI,13/5/2020,1923,4014,1391,1484,91,348,3,0,0
CE,13/5/2020,19,116,59,11,4,4,0,0,0
ML,13/5/2020,49,119,13,44,3,2,0,0,0
AN,14/5/2020,8244,12401,3667,6146,754,1344,18,3,8
AR,14/5/2020,3729,5432,1583,2637,255,837,12,0,1
AS,14/5/2020,1506,2364,936,1087,121,298,3,0,5
IB,14/5/2020,1516,1963,106,1132,168,216,5,0,0
CN,14/5/2020,1267,2280,0,938,178,151,1,0,0
CB,14/5/2020,1316,2263,498,1031,79,206,1,0,1
CM,14/5/2020,12506,16513,8014,9001,635,2870,21,1,18
CL,14/5/2020,11073,18272,6226,8595,548,1930,35,0,5
CT,14/5/2020,38176,55562,1643,29339,2955,5882,34,1,59
VC,14/5/2020,7494,10859,3579,5415,721,1358,26,4,9
EX,14/5/2020,2375,2933,1001,1772,109,494,11,0,2
GA,14/5/2020,3856,9036,1569,2921,332,603,6,5,0
MD,14/5/2020,54440,66523,5093,42057,3574,8809,95,10,30
MC,14/5/2020,930,1534,943,675,112,143,3,0,1
NC,14/5/2020,2681,5116,2966,2045,136,500,0,1,2
PV,14/5/2020,9041,13332,4881,7009,578,1454,15,1,0
RI,14/5/2020,1927,4016,1393,1488,91,348,4,0,0
CE,14/5/2020,19,116,59,11,4,4,0,0,0
ML,14/5/2020,49,119,13,44,3,2,0,0,0
AN,15/5/2020,8274,12420,3843,6161,758,1355,15,4,11
AR,15/5/2020,3741,5456,1669,2648,255,838,11,0,1
AS,15/5/2020,1507,2366,961,1087,121,299,0,0,1
IB,15/5/2020,1516,1980,105,1132,168,216,0,0,0
CN,15/5/2020,1268,2284,0,939,178,151,1,0,0
CB,15/5/2020,1317,2265,505,1032,79,206,1,0,0
CM,15/5/2020,12546,16587,8189,9027,636,2883,26,1,13
CL,15/5/2020,11138,18369,6226,8649,549,1940,54,1,10
CT,15/5/2020,38210,55685,1643,29339,2956,5915,0,1,33
VC,15/5/2020,7522,10885,3686,5435,722,1365,20,1,7
EX,15/5/2020,2378,2944,1001,1772,109,497,0,0,3
GA,15/5/2020,3859,9041,1893,2923,332,604,2,0,1
MD,15/5/2020,54560,66639,5293,42157,3577,8826,100,3,17
MC,15/5/2020,932,1542,1004,676,112,144,1,0,1
